Neighbourhood,Neighbourhood Number,Question Type,Characteristic,Year,Value,Ward
Baranow,3020,Census families in private households,Total one-parent families,2021,140,Anirniq Ward
Baranow,3020,Census families in private households,One-parent families in which the parent is a woman+,2021,120,Anirniq Ward
Baranow,3020,Census families in private households,One-parent families in which the parent is a man+,2021,15,Anirniq Ward
Baranow,3020,Persons in private households,Married spouses or common-law partners,2021,860,Anirniq Ward
Baranow,3020,Persons in private households,Parents in one-parent families,2021,140,Anirniq Ward
Baranow,3020,Persons in private households,Children,2021,740,Anirniq Ward
Baranow,3020,Persons in private households,Children in a two-parent family,2021,515,Anirniq Ward
Baranow,3020,Persons in private households,Children in a one-parent family,2021,220,Anirniq Ward
Baranow,3020,Persons in private households,Persons not in census families,2021,510,Anirniq Ward
Baranow,3020,Persons in private households,Persons not in census families - Living alone,2021,350,Anirniq Ward
Baranow,3020,Persons in private households,Persons not in census families - Living with other relatives,2021,55,Anirniq Ward
Baranow,3020,Persons in private households,Persons not in census families - Living with non-relatives only,2021,95,Anirniq Ward
Baranow,3020,Household type,One-census-family households without additional persons,2021,515,Anirniq Ward
Baranow,3020,Household type,Couple-family households,2021,395,Anirniq Ward
Baranow,3020,Household type,Couple-family households with children,2021,235,Anirniq Ward
Baranow,3020,Household type,Couple-family households without children,2021,155,Anirniq Ward
Baranow,3020,Household type,One-parent-family households,2021,120,Anirniq Ward
Baranow,3020,Household type,Multigenerational households,2021,15,Anirniq Ward
Baranow,3020,Household type,Multiple-census-family households,2021,5,Anirniq Ward
Baranow,3020,Household type,One-census-family households with additional persons,2021,30,Anirniq Ward
Baranow,3020,Household type,Two-or-more-person non-census-family households,2021,50,Anirniq Ward
Baranow,3020,Household type,One-person households,2021,355,Anirniq Ward
Baturyn,3030,Household size,1 person,2021,355,tastawiyiniwak Ward
Baturyn,3030,Household size,2 persons,2021,565,tastawiyiniwak Ward
Baturyn,3030,Household size,3 persons,2021,315,tastawiyiniwak Ward
Baturyn,3030,Household size,4 persons,2021,250,tastawiyiniwak Ward
Baturyn,3030,Household size,5 or more persons,2021,235,tastawiyiniwak Ward
Baturyn,3030,Household size,Average household size,2021,3,tastawiyiniwak Ward
Baturyn,3030,Number of persons in private households,Number of persons in private households,2021,4790,tastawiyiniwak Ward
Baturyn,3030,Marital status,Married or living common-law,2021,2090,tastawiyiniwak Ward
Baturyn,3030,Marital status,Married,2021,1785,tastawiyiniwak Ward
Baturyn,3030,Marital status,Living common-law,2021,300,tastawiyiniwak Ward
Baturyn,3030,Marital status,Living common law - Never married,2021,215,tastawiyiniwak Ward
Baturyn,3030,Marital status,Living common law - Separated,2021,10,tastawiyiniwak Ward
Baturyn,3030,Marital status,Living common law - Divorced,2021,70,tastawiyiniwak Ward
Baturyn,3030,Marital status,Living common law - Widowed,2021,10,tastawiyiniwak Ward
Baturyn,3030,Marital status,Not married and not living common-law,2021,1785,tastawiyiniwak Ward
Baturyn,3030,Marital status,Not married and not living common law - Never married,2021,1210,tastawiyiniwak Ward
Baturyn,3030,Marital status,Not married and not living common law - Separated,2021,95,tastawiyiniwak Ward
Baturyn,3030,Marital status,Not married and not living common law - Divorced,2021,270,tastawiyiniwak Ward
Baturyn,3030,Marital status,Not married and not living common law - Widowed,2021,205,tastawiyiniwak Ward
Baturyn,3030,Family size,2 persons,2021,620,tastawiyiniwak Ward
Baturyn,3030,Family size,3 persons,2021,310,tastawiyiniwak Ward
Baturyn,3030,Family size,4 persons,2021,220,tastawiyiniwak Ward
Baturyn,3030,Family size,5 or more persons,2021,180,tastawiyiniwak Ward
Baturyn,3030,Family size,Average size of census families,2021,3,tastawiyiniwak Ward
Baturyn,3030,Family size,Average number of children in census families with children,2021,2,tastawiyiniwak Ward
Baturyn,3030,Census families in private households,Total couple families,2021,1025,tastawiyiniwak Ward
Belmont,2070,Persons in private households,Children,2021,1890,Dene Ward
Baturyn,3030,Census families in private households,Married couples,2021,870,tastawiyiniwak Ward
Baturyn,3030,Census families in private households,Married couples with children,2021,505,tastawiyiniwak Ward
Baturyn,3030,Census families in private households,Married couples without children,2021,365,tastawiyiniwak Ward
Baturyn,3030,Census families in private households,Common-law couples,2021,155,tastawiyiniwak Ward
Baturyn,3030,Census families in private households,Common-law couples with children,2021,60,tastawiyiniwak Ward
Baturyn,3030,Census families in private households,Common-law couples without children,2021,90,tastawiyiniwak Ward
Baturyn,3030,Census families in private households,Total one-parent families,2021,310,tastawiyiniwak Ward
Baturyn,3030,Census families in private households,One-parent families in which the parent is a woman+,2021,245,tastawiyiniwak Ward
Baturyn,3030,Census families in private households,One-parent families in which the parent is a man+,2021,70,tastawiyiniwak Ward
Baturyn,3030,Persons in private households,Married spouses or common-law partners,2021,2045,tastawiyiniwak Ward
Baturyn,3030,Persons in private households,Parents in one-parent families,2021,315,tastawiyiniwak Ward
Baturyn,3030,Persons in private households,Children,2021,1705,tastawiyiniwak Ward
Baturyn,3030,Persons in private households,Children in a two-parent family,2021,1170,tastawiyiniwak Ward
Baturyn,3030,Persons in private households,Children in a one-parent family,2021,535,tastawiyiniwak Ward
Baturyn,3030,Persons in private households,Persons not in census families,2021,730,tastawiyiniwak Ward
Baturyn,3030,Persons in private households,Persons not in census families - Living alone,2021,350,tastawiyiniwak Ward
Baturyn,3030,Persons in private households,Persons not in census families - Living with other relatives,2021,185,tastawiyiniwak Ward
Baturyn,3030,Persons in private households,Persons not in census families - Living with non-relatives only,2021,190,tastawiyiniwak Ward
Baturyn,3030,Household type,One-census-family households without additional persons,2021,1115,tastawiyiniwak Ward
Baturyn,3030,Household type,Couple-family households,2021,885,tastawiyiniwak Ward
Baturyn,3030,Household type,Couple-family households with children,2021,495,tastawiyiniwak Ward
Baturyn,3030,Household type,Couple-family households without children,2021,390,tastawiyiniwak Ward
Baturyn,3030,Household type,One-parent-family households,2021,230,tastawiyiniwak Ward
Baturyn,3030,Household type,Multigenerational households,2021,70,tastawiyiniwak Ward
Baturyn,3030,Household type,Multiple-census-family households,2021,15,tastawiyiniwak Ward
Baturyn,3030,Household type,One-census-family households with additional persons,2021,80,tastawiyiniwak Ward
Baturyn,3030,Household type,Two-or-more-person non-census-family households,2021,90,tastawiyiniwak Ward
Baturyn,3030,Household type,One-person households,2021,350,tastawiyiniwak Ward
Beacon Heights,2040,Household size,1 person,2021,370,Métis Ward
Beacon Heights,2040,Household size,2 persons,2021,425,Métis Ward
Beacon Heights,2040,Household size,3 persons,2021,230,Métis Ward
Beacon Heights,2040,Household size,4 persons,2021,120,Métis Ward
Beacon Heights,2040,Household size,5 or more persons,2021,100,Métis Ward
Beacon Heights,2040,Household size,Average household size,2021,2,Métis Ward
Beacon Heights,2040,Number of persons in private households,Number of persons in private households,2021,2930,Métis Ward
Beacon Heights,2040,Marital status,Married or living common-law,2021,1130,Métis Ward
Beacon Heights,2040,Marital status,Married,2021,860,Métis Ward
Beacon Heights,2040,Marital status,Living common-law,2021,270,Métis Ward
Beacon Heights,2040,Marital status,Living common law - Never married,2021,190,Métis Ward
Beacon Heights,2040,Marital status,Living common law - Separated,2021,10,Métis Ward
Beacon Heights,2040,Marital status,Living common law - Divorced,2021,60,Métis Ward
Beacon Heights,2040,Marital status,Living common law - Widowed,2021,10,Métis Ward
Beacon Heights,2040,Marital status,Not married and not living common-law,2021,1375,Métis Ward
Beacon Heights,2040,Marital status,Not married and not living common law - Never married,2021,925,Métis Ward
Beacon Heights,2040,Marital status,Not married and not living common law - Separated,2021,85,Métis Ward
Beacon Heights,2040,Marital status,Not married and not living common law - Divorced,2021,210,Métis Ward
Beacon Heights,2040,Marital status,Not married and not living common law - Widowed,2021,150,Métis Ward
Beacon Heights,2040,Family size,2 persons,2021,405,Métis Ward
Beacon Heights,2040,Family size,3 persons,2021,180,Métis Ward
Beacon Heights,2040,Family size,4 persons,2021,110,Métis Ward
Beacon Heights,2040,Family size,5 or more persons,2021,60,Métis Ward
Beacon Heights,2040,Family size,Average size of census families,2021,3,Métis Ward
Beacon Heights,2040,Family size,Average number of children in census families with children,2021,2,Métis Ward
Beacon Heights,2040,Census families in private households,Total couple families,2021,555,Métis Ward
Beacon Heights,2040,Census families in private households,Married couples,2021,420,Métis Ward
Beacon Heights,2040,Census families in private households,Married couples with children,2021,205,Métis Ward
Beacon Heights,2040,Census families in private households,Married couples without children,2021,210,Métis Ward
Beacon Heights,2040,Census families in private households,Common-law couples,2021,135,Métis Ward
Beacon Heights,2040,Census families in private households,Common-law couples with children,2021,65,Métis Ward
Beacon Heights,2040,Census families in private households,Common-law couples without children,2021,75,Métis Ward
Beacon Heights,2040,Census families in private households,Total one-parent families,2021,200,Métis Ward
Beacon Heights,2040,Census families in private households,One-parent families in which the parent is a woman+,2021,150,Métis Ward
Beacon Heights,2040,Census families in private households,One-parent families in which the parent is a man+,2021,50,Métis Ward
Beacon Heights,2040,Persons in private households,Married spouses or common-law partners,2021,1110,Métis Ward
Beacon Heights,2040,Persons in private households,Parents in one-parent families,2021,200,Métis Ward
Beacon Heights,2040,Persons in private households,Children,2021,820,Métis Ward
Beacon Heights,2040,Persons in private households,Children in a two-parent family,2021,485,Métis Ward
Beacon Heights,2040,Persons in private households,Children in a one-parent family,2021,330,Métis Ward
Beacon Heights,2040,Persons in private households,Persons not in census families,2021,805,Métis Ward
Beacon Heights,2040,Persons in private households,Persons not in census families - Living alone,2021,370,Métis Ward
Beacon Heights,2040,Persons in private households,Persons not in census families - Living with other relatives,2021,165,Métis Ward
Beacon Heights,2040,Persons in private households,Persons not in census families - Living with non-relatives only,2021,270,Métis Ward
Beacon Heights,2040,Household type,One-census-family households without additional persons,2021,605,Métis Ward
Beacon Heights,2040,Household type,Couple-family households,2021,475,Métis Ward
Beacon Heights,2040,Household type,Couple-family households with children,2021,230,Métis Ward
Beacon Heights,2040,Household type,Couple-family households without children,2021,240,Métis Ward
Beacon Heights,2040,Household type,One-parent-family households,2021,130,Métis Ward
Beacon Heights,2040,Household type,Multigenerational households,2021,40,Métis Ward
Beacon Heights,2040,Household type,Multiple-census-family households,2021,5,Métis Ward
Beacon Heights,2040,Household type,One-census-family households with additional persons,2021,85,Métis Ward
Beacon Heights,2040,Household type,Two-or-more-person non-census-family households,2021,135,Métis Ward
Beacon Heights,2040,Household type,One-person households,2021,370,Métis Ward
Bearspaw,5030,Household size,1 person,2021,190,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Household size,2 persons,2021,345,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Household size,3 persons,2021,145,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Household size,4 persons,2021,125,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Household size,5 or more persons,2021,60,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Household size,Average household size,2021,3,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Number of persons in private households,Number of persons in private households,2021,2155,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Marital status,Married or living common-law,2021,1200,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Marital status,Married,2021,1095,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Marital status,Living common-law,2021,100,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Marital status,Living common law - Never married,2021,55,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Marital status,Living common law - Separated,2021,10,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Marital status,Living common law - Divorced,2021,35,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Marital status,Living common law - Widowed,2021,5,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Marital status,Not married and not living common-law,2021,670,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Marital status,Not married and not living common law - Never married,2021,440,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Marital status,Not married and not living common law - Separated,2021,35,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Marital status,Not married and not living common law - Divorced,2021,90,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Marital status,Not married and not living common law - Widowed,2021,105,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Family size,2 persons,2021,365,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Family size,3 persons,2021,140,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Family size,4 persons,2021,115,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Family size,5 or more persons,2021,45,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Family size,Average size of census families,2021,3,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Family size,Average number of children in census families with children,2021,2,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Census families in private households,Total couple families,2021,585,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Census families in private households,Married couples,2021,535,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Census families in private households,Married couples with children,2021,245,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Census families in private households,Married couples without children,2021,290,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Census families in private households,Common-law couples,2021,50,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Census families in private households,Common-law couples with children,2021,20,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Census families in private households,Common-law couples without children,2021,30,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Census families in private households,Total one-parent families,2021,75,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Census families in private households,One-parent families in which the parent is a woman+,2021,65,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Census families in private households,One-parent families in which the parent is a man+,2021,15,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Persons in private households,Married spouses or common-law partners,2021,1170,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Persons in private households,Parents in one-parent families,2021,75,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Persons in private households,Children,2021,595,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Persons in private households,Children in a two-parent family,2021,470,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Persons in private households,Children in a one-parent family,2021,125,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Persons in private households,Persons not in census families,2021,310,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Persons in private households,Persons not in census families - Living alone,2021,190,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Persons in private households,Persons not in census families - Living with other relatives,2021,60,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Persons in private households,Persons not in census families - Living with non-relatives only,2021,60,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Household type,One-census-family households without additional persons,2021,600,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Household type,Couple-family households,2021,535,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Household type,Couple-family households with children,2021,235,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Household type,Couple-family households without children,2021,300,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Household type,One-parent-family households,2021,65,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Household type,Multigenerational households,2021,15,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Household type,Multiple-census-family households,2021,5,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Household type,One-census-family households with additional persons,2021,25,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Household type,Two-or-more-person non-census-family households,2021,30,Ipiihkoohkanipiaohtsi Ward
Bearspaw,5030,Household type,One-person households,2021,195,Ipiihkoohkanipiaohtsi Ward
Beaumaris,3040,Household size,1 person,2021,650,tastawiyiniwak Ward
Beaumaris,3040,Household size,2 persons,2021,665,tastawiyiniwak Ward
Beaumaris,3040,Household size,3 persons,2021,210,tastawiyiniwak Ward
Beaumaris,3040,Household size,4 persons,2021,150,tastawiyiniwak Ward
Beaumaris,3040,Household size,5 or more persons,2021,215,tastawiyiniwak Ward
Beaumaris,3040,Household size,Average household size,2021,2,tastawiyiniwak Ward
Beaumaris,3040,Number of persons in private households,Number of persons in private households,2021,4490,tastawiyiniwak Ward
Beaumaris,3040,Marital status,Married or living common-law,2021,2050,tastawiyiniwak Ward
Beaumaris,3040,Marital status,Married,2021,1890,tastawiyiniwak Ward
Beaumaris,3040,Marital status,Living common-law,2021,155,tastawiyiniwak Ward
Beaumaris,3040,Marital status,Living common law - Never married,2021,95,tastawiyiniwak Ward
Beaumaris,3040,Marital status,Living common law - Separated,2021,5,tastawiyiniwak Ward
Beaumaris,3040,Marital status,Living common law - Divorced,2021,45,tastawiyiniwak Ward
Beaumaris,3040,Marital status,Living common law - Widowed,2021,5,tastawiyiniwak Ward
Beaumaris,3040,Marital status,Not married and not living common-law,2021,1710,tastawiyiniwak Ward
Beaumaris,3040,Marital status,Not married and not living common law - Never married,2021,1005,tastawiyiniwak Ward
Beaumaris,3040,Marital status,Not married and not living common law - Separated,2021,95,tastawiyiniwak Ward
Beaumaris,3040,Marital status,Not married and not living common law - Divorced,2021,240,tastawiyiniwak Ward
Beaumaris,3040,Marital status,Not married and not living common law - Widowed,2021,365,tastawiyiniwak Ward
Beaumaris,3040,Family size,2 persons,2021,680,tastawiyiniwak Ward
Beaumaris,3040,Family size,3 persons,2021,215,tastawiyiniwak Ward
Beaumaris,3040,Family size,4 persons,2021,145,tastawiyiniwak Ward
Beaumaris,3040,Family size,5 or more persons,2021,175,tastawiyiniwak Ward
Beaumaris,3040,Family size,Average size of census families,2021,3,tastawiyiniwak Ward
Beaumaris,3040,Family size,Average number of children in census families with children,2021,2,tastawiyiniwak Ward
Beaumaris,3040,Census families in private households,Total couple families,2021,990,tastawiyiniwak Ward
Beaumaris,3040,Census families in private households,Married couples,2021,910,tastawiyiniwak Ward
Beaumaris,3040,Census families in private households,Married couples with children,2021,420,tastawiyiniwak Ward
Beaumaris,3040,Census families in private households,Married couples without children,2021,490,tastawiyiniwak Ward
Beaumaris,3040,Census families in private households,Common-law couples,2021,80,tastawiyiniwak Ward
Beaumaris,3040,Census families in private households,Common-law couples with children,2021,25,tastawiyiniwak Ward
Beaumaris,3040,Census families in private households,Common-law couples without children,2021,55,tastawiyiniwak Ward
Beaumaris,3040,Census families in private households,Total one-parent families,2021,220,tastawiyiniwak Ward
Beaumaris,3040,Census families in private households,One-parent families in which the parent is a woman+,2021,175,tastawiyiniwak Ward
Beaumaris,3040,Census families in private households,One-parent families in which the parent is a man+,2021,45,tastawiyiniwak Ward
Beaumaris,3040,Persons in private households,Married spouses or common-law partners,2021,1980,tastawiyiniwak Ward
Beaumaris,3040,Persons in private households,Parents in one-parent families,2021,220,tastawiyiniwak Ward
Beaumaris,3040,Persons in private households,Children,2021,1380,tastawiyiniwak Ward
Beaumaris,3040,Persons in private households,Children in a two-parent family,2021,1005,tastawiyiniwak Ward
Beaumaris,3040,Persons in private households,Children in a one-parent family,2021,375,tastawiyiniwak Ward
Beaumaris,3040,Persons in private households,Persons not in census families,2021,915,tastawiyiniwak Ward
Beaumaris,3040,Persons in private households,Persons not in census families - Living alone,2021,655,tastawiyiniwak Ward
Beaumaris,3040,Persons in private households,Persons not in census families - Living with other relatives,2021,140,tastawiyiniwak Ward
Beaumaris,3040,Persons in private households,Persons not in census families - Living with non-relatives only,2021,120,tastawiyiniwak Ward
Beaumaris,3040,Household type,One-census-family households without additional persons,2021,1070,tastawiyiniwak Ward
Beaumaris,3040,Household type,Couple-family households,2021,895,tastawiyiniwak Ward
Beaumaris,3040,Household type,Couple-family households with children,2021,385,tastawiyiniwak Ward
Beaumaris,3040,Household type,Couple-family households without children,2021,510,tastawiyiniwak Ward
Beaumaris,3040,Household type,One-parent-family households,2021,170,tastawiyiniwak Ward
Beaumaris,3040,Household type,Multigenerational households,2021,50,tastawiyiniwak Ward
Beaumaris,3040,Household type,Multiple-census-family households,2021,15,tastawiyiniwak Ward
Beaumaris,3040,Household type,One-census-family households with additional persons,2021,45,tastawiyiniwak Ward
Beaumaris,3040,Household type,Two-or-more-person non-census-family households,2021,65,tastawiyiniwak Ward
Beaumaris,3040,Household type,One-person households,2021,655,tastawiyiniwak Ward
Belgravia,5040,Household size,1 person,2021,250,papastew Ward
Belgravia,5040,Household size,2 persons,2021,320,papastew Ward
Belgravia,5040,Household size,3 persons,2021,130,papastew Ward
Belgravia,5040,Household size,4 persons,2021,155,papastew Ward
Belgravia,5040,Household size,5 or more persons,2021,70,papastew Ward
Belgravia,5040,Household size,Average household size,2021,3,papastew Ward
Belgravia,5040,Number of persons in private households,Number of persons in private households,2021,2250,papastew Ward
Belgravia,5040,Marital status,Married or living common-law,2021,1155,papastew Ward
Belgravia,5040,Marital status,Married,2021,1005,papastew Ward
Belgravia,5040,Marital status,Living common-law,2021,155,papastew Ward
Belgravia,5040,Marital status,Living common law - Never married,2021,120,papastew Ward
Belgravia,5040,Marital status,Living common law - Separated,2021,5,papastew Ward
Belgravia,5040,Marital status,Living common law - Divorced,2021,25,papastew Ward
Belgravia,5040,Marital status,Living common law - Widowed,2021,5,papastew Ward
Belgravia,5040,Marital status,Not married and not living common-law,2021,765,papastew Ward
Belgravia,5040,Marital status,Not married and not living common law - Never married,2021,600,papastew Ward
Belgravia,5040,Marital status,Not married and not living common law - Separated,2021,25,papastew Ward
Belgravia,5040,Marital status,Not married and not living common law - Divorced,2021,75,papastew Ward
Belgravia,5040,Marital status,Not married and not living common law - Widowed,2021,60,papastew Ward
Belgravia,5040,Family size,2 persons,2021,320,papastew Ward
Belgravia,5040,Family size,3 persons,2021,105,papastew Ward
Belgravia,5040,Family size,4 persons,2021,145,papastew Ward
Belgravia,5040,Family size,5 or more persons,2021,45,papastew Ward
Belgravia,5040,Family size,Average size of census families,2021,3,papastew Ward
Belgravia,5040,Family size,Average number of children in census families with children,2021,2,papastew Ward
Belgravia,5040,Census families in private households,Total couple families,2021,570,papastew Ward
Belgravia,5040,Census families in private households,Married couples,2021,495,papastew Ward
Belgravia,5040,Census families in private households,Married couples with children,2021,265,papastew Ward
Belgravia,5040,Census families in private households,Married couples without children,2021,230,papastew Ward
Belgravia,5040,Census families in private households,Common-law couples,2021,75,papastew Ward
Belgravia,5040,Census families in private households,Common-law couples with children,2021,20,papastew Ward
Boyle Street,1020,Household type,Couple-family households,2021,715,O-day'min Ward
Belgravia,5040,Census families in private households,Common-law couples without children,2021,60,papastew Ward
Belgravia,5040,Census families in private households,Total one-parent families,2021,50,papastew Ward
Belgravia,5040,Census families in private households,One-parent families in which the parent is a woman+,2021,35,papastew Ward
Belgravia,5040,Census families in private households,One-parent families in which the parent is a man+,2021,10,papastew Ward
Belgravia,5040,Persons in private households,Married spouses or common-law partners,2021,1135,papastew Ward
Belgravia,5040,Persons in private households,Parents in one-parent families,2021,50,papastew Ward
Belgravia,5040,Persons in private households,Children,2021,585,papastew Ward
Belgravia,5040,Persons in private households,Children in a two-parent family,2021,515,papastew Ward
Belgravia,5040,Persons in private households,Children in a one-parent family,2021,70,papastew Ward
Belgravia,5040,Persons in private households,Persons not in census families,2021,480,papastew Ward
Belgravia,5040,Persons in private households,Persons not in census families - Living alone,2021,245,papastew Ward
Belgravia,5040,Persons in private households,Persons not in census families - Living with other relatives,2021,55,papastew Ward
Belgravia,5040,Persons in private households,Persons not in census families - Living with non-relatives only,2021,175,papastew Ward
Belgravia,5040,Household type,One-census-family households without additional persons,2021,570,papastew Ward
Belgravia,5040,Household type,Couple-family households,2021,530,papastew Ward
Belgravia,5040,Household type,Couple-family households with children,2021,265,papastew Ward
Belgravia,5040,Household type,Couple-family households without children,2021,265,papastew Ward
Belgravia,5040,Household type,One-parent-family households,2021,40,papastew Ward
Belgravia,5040,Household type,Multigenerational households,2021,15,papastew Ward
Belgravia,5040,Household type,Multiple-census-family households,2021,5,papastew Ward
Belgravia,5040,Household type,One-census-family households with additional persons,2021,20,papastew Ward
Belgravia,5040,Household type,Two-or-more-person non-census-family households,2021,65,papastew Ward
Belgravia,5040,Household type,One-person households,2021,245,papastew Ward
Belle Rive,2050,Household size,1 person,2021,170,tastawiyiniwak Ward
Belle Rive,2050,Household size,2 persons,2021,375,tastawiyiniwak Ward
Belle Rive,2050,Household size,3 persons,2021,255,tastawiyiniwak Ward
Belle Rive,2050,Household size,4 persons,2021,245,tastawiyiniwak Ward
Belle Rive,2050,Household size,5 or more persons,2021,195,tastawiyiniwak Ward
Belle Rive,2050,Household size,Average household size,2021,3,tastawiyiniwak Ward
Belle Rive,2050,Number of persons in private households,Number of persons in private households,2021,3760,tastawiyiniwak Ward
Belle Rive,2050,Marital status,Married or living common-law,2021,1855,tastawiyiniwak Ward
Belle Rive,2050,Marital status,Married,2021,1715,tastawiyiniwak Ward
Belle Rive,2050,Marital status,Living common-law,2021,140,tastawiyiniwak Ward
Belle Rive,2050,Marital status,Living common law - Never married,2021,105,tastawiyiniwak Ward
Belle Rive,2050,Marital status,Living common law - Separated,2021,5,tastawiyiniwak Ward
Belle Rive,2050,Marital status,Living common law - Divorced,2021,25,tastawiyiniwak Ward
Belle Rive,2050,Marital status,Living common law - Widowed,2021,0,tastawiyiniwak Ward
Belle Rive,2050,Marital status,Not married and not living common-law,2021,1365,tastawiyiniwak Ward
Belle Rive,2050,Marital status,Not married and not living common law - Never married,2021,1045,tastawiyiniwak Ward
Belle Rive,2050,Marital status,Not married and not living common law - Separated,2021,50,tastawiyiniwak Ward
Belle Rive,2050,Marital status,Not married and not living common law - Divorced,2021,155,tastawiyiniwak Ward
Belle Rive,2050,Marital status,Not married and not living common law - Widowed,2021,120,tastawiyiniwak Ward
Belle Rive,2050,Family size,2 persons,2021,430,tastawiyiniwak Ward
Belle Rive,2050,Family size,3 persons,2021,265,tastawiyiniwak Ward
Belle Rive,2050,Family size,4 persons,2021,245,tastawiyiniwak Ward
Belle Rive,2050,Family size,5 or more persons,2021,125,tastawiyiniwak Ward
Belle Rive,2050,Family size,Average size of census families,2021,3,tastawiyiniwak Ward
Belle Rive,2050,Family size,Average number of children in census families with children,2021,2,tastawiyiniwak Ward
Belle Rive,2050,Census families in private households,Total couple families,2021,910,tastawiyiniwak Ward
Belle Rive,2050,Census families in private households,Married couples,2021,835,tastawiyiniwak Ward
Belle Rive,2050,Census families in private households,Married couples with children,2021,535,tastawiyiniwak Ward
Belle Rive,2050,Census families in private households,Married couples without children,2021,300,tastawiyiniwak Ward
Belle Rive,2050,Census families in private households,Common-law couples,2021,70,tastawiyiniwak Ward
Belle Rive,2050,Census families in private households,Common-law couples with children,2021,30,tastawiyiniwak Ward
Belle Rive,2050,Census families in private households,Common-law couples without children,2021,45,tastawiyiniwak Ward
Belle Rive,2050,Census families in private households,Total one-parent families,2021,165,tastawiyiniwak Ward
Belle Rive,2050,Census families in private households,One-parent families in which the parent is a woman+,2021,125,tastawiyiniwak Ward
Belle Rive,2050,Census families in private households,One-parent families in which the parent is a man+,2021,45,tastawiyiniwak Ward
Belle Rive,2050,Persons in private households,Married spouses or common-law partners,2021,1815,tastawiyiniwak Ward
Belle Rive,2050,Persons in private households,Parents in one-parent families,2021,170,tastawiyiniwak Ward
Belle Rive,2050,Persons in private households,Children,2021,1360,tastawiyiniwak Ward
Belle Rive,2050,Persons in private households,Children in a two-parent family,2021,1090,tastawiyiniwak Ward
Belle Rive,2050,Persons in private households,Children in a one-parent family,2021,270,tastawiyiniwak Ward
Belmead,4040,Household type,Multiple-census-family households,2021,20,Nakota Isga Ward
Belle Rive,2050,Persons in private households,Persons not in census families,2021,420,tastawiyiniwak Ward
Belle Rive,2050,Persons in private households,Persons not in census families - Living alone,2021,165,tastawiyiniwak Ward
Belle Rive,2050,Persons in private households,Persons not in census families - Living with other relatives,2021,150,tastawiyiniwak Ward
